time,step,x,y,Ux,Uy,p
6.9,6900,0.2199999988079071,0.12487500160932541,0.637062,0.0308638,-0.0354232
6.9,6900,0.25999999791383743,0.1271250005811453,0.63367,0.0304158,-0.0266291
6.9,6900,0.29999999701976776,0.12937499769032001,0.607426,0.0294484,-0.018336
6.9,6900,0.3400000035762787,0.1316249966621399,0.605608,0.0289511,-0.0105682
6.9,6900,0.3800000101327896,0.13387499935925007,0.579932,0.0282444,-0.00331322
7.0,7000,-0.3800000101327896,-0.0911250002682209,1.00189,-0.0283988,-0.306875
7.0,7000,-0.3400000035762787,-0.09337499924004078,0.928709,-0.0424432,-0.248733
7.0,7000,-0.29999999701976776,-0.0956250000745058,0.898399,-0.0395284,-0.214008
7.0,7000,-0.25999999791383743,-0.09787500090897083,0.864549,-0.0386718,-0.193752
7.0,7000,-0.2199999988079071,-0.10012499988079071,0.851289,-0.0395929,-0.176046
7.0,7000,-0.17999999970197678,-0.10237500071525574,0.820125,-0.0396954,-0.159159
7.0,7000,-0.13999999687075615,-0.10462499968707561,0.808713,-0.0390751,-0.143143
7.0,7000,-0.09999999776482582,-0.10687499865889549,0.777642,-0.0381588,-0.128074
7.0,7000,-0.05999999865889549,-0.10912499949336052,0.768611,-0.0376824,-0.113896
7.0,7000,-0.019999999552965164,-0.11137500032782555,0.739424,-0.0360243,-0.100626
7.0,7000,0.019999999552965164,-0.11362499929964542,0.731266,-0.0353557,-0.0881802
7.0,7000,0.05999999865889549,-0.1158749982714653,0.703076,-0.0344143,-0.0763726
7.0,7000,0.09999999776482582,-0.11812499724328518,0.696739,-0.0335729,-0.0652313
7.0,7000,0.13999999687075615,-0.12037499994039536,0.668723,-0.0326269,-0.0547179
7.0,7000,0.17999999970197678,-0.12262500263750553,0.664123,-0.032194,-0.0447796
7.0,7000,0.2199999988079071,-0.12487500160932541,0.637234,-0.0309795,-0.0354108
7.0,7000,0.25999999791383743,-0.1271250005811453,0.633754,-0.0303324,-0.0266217
7.0,7000,0.29999999701976776,-0.12937499769032001,0.607354,-0.0294257,-0.0183407
7.0,7000,0.3400000035762787,-0.1316249966621399,0.60559,-0.0289742,-0.0105692
7.0,7000,0.3800000101327896,-0.13387499935925007,0.579947,-0.0282453,-0.00331133
7.0,7000,-0.3800000101327896,-0.07087500020861626,1.00275,-0.0349745,-0.271504
7.0,7000,-0.3400000035762787,-0.0726250009611249,0.964061,-0.0479447,-0.243259
7.0,7000,-0.29999999701976776,-0.07437499985098839,0.944315,-0.042844,-0.215747
7.0,7000,-0.25999999791383743,-0.07612499967217445,0.910797,-0.0401379,-0.193602
7.0,7000,-0.2199999988079071,-0.07787500135600567,0.900389,-0.0407483,-0.175625
7.0,7000,-0.17999999970197678,-0.07962500117719173,0.872003,-0.0409109,-0.159217
7.0,7000,-0.13999999687075615,-0.08137499913573265,0.863459,-0.0405332,-0.14366
7.0,7000,-0.09999999776482582,-0.08312499895691872,0.836622,-0.0395543,-0.128889
7.0,7000,-0.05999999865889549,-0.08487499877810478,0.829147,-0.0386929,-0.114804
7.0,7000,-0.019999999552965164,-0.086625000461936,0.802737,-0.0370136,-0.101489
7.0,7000,0.019999999552965164,-0.08837500028312206,0.797087,-0.0362035,-0.0889562
7.0,7000,0.05999999865889549,-0.09012500010430813,0.77155,-0.0352303,-0.0770965
7.0,7000,0.09999999776482582,-0.0918749999254942,0.767028,-0.0344294,-0.0659282
7.0,7000,0.13999999687075615,-0.09362499974668026,0.742766,-0.0336074,-0.0554249
7.0,7000,0.17999999970197678,-0.09537500143051147,0.739393,-0.0331969,-0.0454778
7.0,7000,0.2199999988079071,-0.09712500125169754,0.715747,-0.032222,-0.0360968
7.0,7000,0.25999999791383743,-0.0988750010728836,0.713802,-0.0316237,-0.0272693
7.0,7000,0.29999999701976776,-0.10062499903142452,0.690941,-0.0309762,-0.0189287
7.0,7000,0.3400000035762787,-0.10237499885261059,0.690051,-0.030597,-0.0110381
7.0,7000,0.3800000101327896,-0.1041250005364418,0.667892,-0.0301017,-0.00358498
7.0,7000,-0.3800000101327896,-0.05062500014901161,1.00412,-0.0127024,-0.265666
7.0,7000,-0.3400000035762787,-0.051875000819563866,0.973557,-0.0217968,-0.244816
7.0,7000,-0.29999999701976776,-0.05312499962747097,0.954731,-0.0223033,-0.21793
7.0,7000,-0.25999999791383743,-0.05437499936670065,0.920649,-0.0201389,-0.194839
7.0,7000,-0.2199999988079071,-0.05562500096857548,0.909321,-0.0196406,-0.175778
7.0,7000,-0.17999999970197678,-0.05687500070780516,0.881257,-0.0201967,-0.159225
7.0,7000,-0.13999999687075615,-0.05812499951571226,0.873102,-0.0204633,-0.143806
7.0,7000,-0.09999999776482582,-0.05937499925494194,0.846716,-0.0205294,-0.129139
7.0,7000,-0.05999999865889549,-0.06062499899417162,0.839559,-0.0203152,-0.115123
7.0,7000,-0.019999999552965164,-0.06187500059604645,0.813563,-0.0194417,-0.101801
7.0,7000,0.019999999552965164,-0.06312500033527613,0.807983,-0.0189267,-0.08919
7.0,7000,0.05999999865889549,-0.0643750000745058,0.783053,-0.0184471,-0.0772543
7.0,7000,0.09999999776482582,-0.06562499981373549,0.778511,-0.0178762,-0.0660164
7.0,7000,0.13999999687075615,-0.06687499955296516,0.754736,-0.0175873,-0.0554564
7.0,7000,0.17999999970197678,-0.06812500115483999,0.751567,-0.0174031,-0.0455006
7.0,7000,0.2199999988079071,-0.06937500089406967,0.728623,-0.0169947,-0.0361239
7.0,7000,0.25999999791383743,-0.07062500063329935,0.726691,-0.0166736,-0.0272841
7.0,7000,0.29999999701976776,-0.07187499944120646,0.704708,-0.0164633,-0.0189294
